,sentence_source,label,predicted,ks_test,best_distribution,distribution_summary,label_notes,sentence,e1,e2,e1_e2,likelihood_e2_arrow_e1,nytimes_e2_arrow_e1,edu_e2_arrow_e1,skynews_e2_arrow_e1,bbc_e2_arrow_e1,abc.net.au_e2_arrow_e1,springer_e2_arrow_e1,mit.edu_e2_arrow_e1,nationalgeographic_e2_arrow_e1,time_e2_arrow_e1,wikipedia_e2_arrow_e1,oreilly_e2_arrow_e1,gov.au_e2_arrow_e1,IMDB_e2_arrow_e1,wiley_e2_arrow_e1,smh_e2_arrow_e1,economist_e2_arrow_e1,ncbi.nlm.nih.gov_e2_arrow_e1,nejm_e2_arrow_e1
0,142,0,1,"KstestResult(statistic=0.22666666666666666, pvalue=0.449714301417252)","{'cauchy': {'loc': 0.9781264719347167, 'scale': 0.013259744945340678}}","          sumsquare_error         aic         bic  kl_div
cauchy       21042.055768  -76.710283  114.109523     inf
beta         22313.156915 -191.508873  120.405424     inf
logistic     24854.596811 -238.276452  116.607317     inf
uniform      25327.648001 -361.416883  116.890126     inf
norm         25448.065794 -275.423084  116.961273     inf",dummy,This as well as kinetic data support the hypothesis of inhibition through altered membrane properties.,inhibition,altered membrane properties,inhibition altered membrane properties,0,0.9948587834679843,0.8677685950413224,,0.9757023538344722,0.9856846246311879,0.9808924420252877,0.8766274023558586,0.833976833976834,,0.9822572504561867,0.9912609238451934,0.9011943539630837,,0.972630626555078,0.993127147766323,0.9692597239648683,0.9693877551020408,0.9564459930313588
1,143,0,0,"KstestResult(statistic=0.2811111111111111, pvalue=0.14536818538127927)","{'lognorm': {'s': 1.9489454360072087, 'loc': 0.050051005935169895, 'scale': 0.05407019793463816}}","          sumsquare_error         aic        bic  kl_div
lognorm        729.463757  176.026466  75.305998     inf
gamma          748.019729  180.606893  75.758152     inf
invgamma       803.278719  188.186848  77.041055     inf
expon          924.760632  111.676057  76.685681     inf
t             1085.491534  249.120326  82.460611     inf",dummy,Hundreds of thousands in central China are sleeping outdoors for fear of more tremors after Saturday's earthquake.,tremors,earthquake,tremors earthquake,0,0.17656765676567654,0.05086523335081279,0.06299212598425197,0.12512218963831867,0.07069697726704971,0.2853185595567867,0.06026127265065318,0.05080213903743316,0.13814180929095354,0.08102025506376595,0.06572769953051644,0.21948356807511737,0.3021276595744681,0.36448598130841126,0.17915774446823698,0.15297741273100615,0.7485604606525911,0.8356665948740039
2,144,0,1,"KstestResult(statistic=0.2223529411764706, pvalue=0.4033449664740031)","{'uniform': {'loc': 0.06527415143603132, 'scale': 0.5422955696795065}}","          sumsquare_error         aic        bic  kl_div
uniform       1660.187188 -118.388819  83.551456     inf
beta          1660.303472  -99.946673  89.219073     inf
lognorm       1709.423767  -78.873530  86.881511     inf
invgamma      1709.654175  -78.626494  86.883802     inf
gamma         1709.739881  -79.819162  86.884654     inf",dummy,"Dehydration from fluid loss generally is the only major problem the virus can cause, most often in the elderly.",Dehydration,fluid loss,Dehydration fluid loss,0,0.38972809667673713,0.15839493136219643,,0.47011952191235057,0.45625,0.10311493018259936,0.14945054945054947,0.2868292682926829,0.5719512195121952,0.33401221995926683,0.4897959183673469,0.24212598425196852,0.4480755265068991,0.3165322580645161,0.6075697211155379,0.18744007670182167,0.06527415143603132,0.1958182549256132
3,152,0,1,"KstestResult(statistic=0.15777777777777777, pvalue=0.7830695111699735)","{'beta': {'a': 0.7374017578365295, 'b': 2.637487370569219, 'loc': 0.005130261116184451, 'scale': 0.9091131578473685}}","          sumsquare_error         aic        bic  kl_div
beta           630.077682   44.389526  75.559971     inf
expon          644.997964   57.791549  70.200501     inf
gamma          654.132143  119.162841  73.343993     inf
lognorm        681.167892   79.440887  74.072982     inf
invgamma       689.746925   84.011631  74.298269     inf",dummy,Givers gain moral strength and happiness from giving.,happiness,giving,happiness giving,0,0.1339552895616969,0.09811423886307735,0.028794533918984868,0.5833333333333334,0.22730422730422728,0.018460153084196306,0.20169436298468557,0.172544080604534,0.3614536015574302,0.06862745098039215,0.20395869191049917,0.09466327827191867,0.7622504537205081,0.023655265933403648,0.37756899588960663,0.15310077519379844,0.0051302611161844515,0.23733065730055194
4,153,0,1,"KstestResult(statistic=0.2311111111111111, pvalue=0.33080763348644404)","{'beta': {'a': 0.747811810915199, 'b': 0.6543199889765092, 'loc': -0.004009766328707023, 'scale': 0.17040822143009104}}","         sumsquare_error         aic         bic  kl_div
beta        24221.869665 -333.287772  141.244997     inf
gamma       24736.426981 -262.033329  138.733003     inf
expon       25091.579189 -290.357826  136.099228     inf
uniform     25388.168081 -354.743706  136.310745     inf
lognorm     25871.184177 -294.667232  139.540355     inf",dummy,"The joy comes from cather's writing: precise observation and wording, the lilting cadence of her phrasing, the beautiful and clear pictures she evokes of scenery and characters, and the unfamiliar, old fashioned words and expressions she uses.",joy,writing,joy writing,0,0.034258712344949795,0.022365299898339547,0.09793814432989692,0.13314840499306518,0.16639845510138399,0.0074060416090470475,0.056342364532019705,0.06352941176470588,0.13309352517985612,5.7978566001820675e-05,0.11858974358974358,0.06794055201698514,0.06359333196130891,0.006797916482740355,0.16519434628975263,0.09465020576131687,0.0011680152525222949,0.03315465554893786
5,154,0,1,"KstestResult(statistic=0.2675, pvalue=0.231984969261799)","{'beta': {'a': 0.5578522336566025, 'b': 18.943487111930757, 'loc': 0.0015308725973805066, 'scale': 3.720726390984519}}","        sumsquare_error         aic        bic  kl_div
beta        2183.959925   87.440111  89.751255     inf
cauchy      2213.675757  182.003469  84.422312     inf
t           2216.059485  193.530290  87.212121     inf
gamma       2216.236379  108.096640  87.213398     inf
expon       2217.873435   40.129050  84.452624     inf",dummy,There is a rise in erratic behaviour from substance abuse and frustration caused by long waits for hospital treatment.,erratic behaviour,substance abuse,erratic behaviour substance abuse,0,0.051926298157453935,0.014863463532665055,,0.0880672631238547,0.041005291005291,0.13305811368688475,0.1326781326781327,0.5919811320754716,0.09475740801042004,0.08055166899860083,,0.08931698774080561,0.1381578947368421,0.08628005657708629,0.14509394572025053,0.4975903614457831,0.0044485430890389786,0.0015308725973805068
6,155,0,0,"KstestResult(statistic=0.08222222222222222, pvalue=0.999556532263152)","{'beta': {'a': 1.5652037652458348, 'b': 0.7306757267102781, 'loc': 0.7970685212454572, 'scale': 0.18541519759577343}}","         sumsquare_error         aic         bic  kl_div
beta        14586.824548 -309.125169  132.116527     inf
uniform     15839.564885 -350.874852  127.818843     inf
t           16038.213067 -289.057613  130.933554     inf
norm        16038.241101 -291.065673  128.043214     inf
gamma       16055.446861 -289.358120  130.952886     inf",dummy,"In one day, the Red Crescent treated more than injuries  mainly broken bones caused by panic from aftershocks.",panic,aftershocks,panic aftershocks,0,0.9396200814111262,0.964460298586339,0.848987108655617,0.949868073878628,0.9612831270911891,0.8634538152610441,0.9706959706959707,0.8831488314883148,0.9119616016167741,0.8987161198288159,0.9131293188548865,0.9824837188412306,0.8668242710795901,0.8128941836019622,0.9264041316978695,0.948176583493282,0.9752731454859115,0.975883342680875
7,158,0,1,"KstestResult(statistic=0.155, pvalue=0.8442156859230016)","{'beta': {'a': 2.4382851915151225, 'b': 0.32390151840797177, 'loc': 0.6352263719715872, 'scale': 0.36450343078442465}}","          sumsquare_error        aic         bic  kl_div
beta          5099.923904 -16.789298  103.320630     inf
cauchy        8172.903483  47.260643  105.321030     inf
t             8241.605683  46.249876  108.227554     inf
logistic      8400.746959  17.686909  105.760972     inf
norm          8604.599880 -51.576626  106.144593     inf",dummy,"I'm finding the most joy comes from Asian flavours; beautiful fresh fish; things that have been marinated; roasted vegetables; meats that intensify in flavour during the cooking process; and dishes made from the most brilliant, fresh, in-season food.",joy,Asian flavours,joy Asian flavours,0,0.991368259123152,0.9935242234071449,,0.9566517189835576,0.9625768013405326,0.9002614867388868,0.9900457358084478,0.9334248455730954,0.9978425026968717,0.9705066801109151,0.9997298027560118,0.9656004828002414,0.9996166518665173,0.8815111619919863,0.8669448307834956,0.6976744186046512,0.915096647908001,
8,159,0,0,"KstestResult(statistic=0.21352941176470588, pvalue=0.4510655683090007)","{'beta': {'a': 0.41723945969424975, 'b': 0.14499250637489564, 'loc': -0.05526859859701708, 'scale': 1.048315123471543}}","          sumsquare_error         aic        bic  kl_div
beta           707.527724  173.769683  74.718432     inf
cauchy         940.170738  404.972432  73.884845     inf
logistic      1209.890530  136.823918  78.172648     inf
uniform       1227.865785   -5.995162  78.423358     inf
norm          1229.870377   93.644409  78.451089     inf",dummy,"Whilst audio sampled at 8kHz is sufficient for communication, such narrow-band speech does not sound natural, leading to user frustration after prolonged exposure, and making language learning difficult.",frustration,prolonged exposure,frustration prolonged exposure,0,0.9816474605206998,0.7625,,0.9930465248745257,0.9647659240357248,0.3585746102449889,0.8471211118464593,0.9097525473071325,0.977696303085854,0.9223674096848579,0.9924136863291532,0.7319223985890652,0.9916211853332308,0.2780569514237856,0.9841389604212114,0.9767237109998349,0.0417940876656473,0.2291831879460745
9,160,0,1,"KstestResult(statistic=0.16777777777777778, pvalue=0.7194117970416094)","{'beta': {'a': 1.0287443470852797, 'b': 0.8477218233600057, 'loc': -0.02472873711374147, 'scale': 0.3020566723364136}}","          sumsquare_error         aic         bic  kl_div
beta          6002.037932 -232.337993  116.132174     inf
uniform       6037.812863 -254.427944  110.458400     inf
gamma         6105.503634 -214.373274  113.549449     inf
lognorm       6116.722257 -212.341376  113.582493     inf
invgamma      6122.450727 -212.071112  113.599343     inf",dummy,Videotape is a fragile medium subject to damage and deterioration from exposure to poor environmental conditions and inadequate handling practices.,deterioration,exposure,deterioration exposure,0,0.2632113821138211,0.05327761817706973,0.10248986682107702,0.25375170532060026,0.0357086676105081,0.11752745018300122,0.17884481558803064,0.09458246034121522,0.15998311523849726,0.0026455250057052055,0.05660377358490566,0.09903713892709767,0.1330166270783848,0.09781890284203568,0.18396226415094338,0.2773279352226721,0.05207819944143257,0.26567656765676567
